app_id,tag
261550,Singleplayer
261550,Action
261550,Character Customization
261550,Simulation
261550,Moddable
261550,Adventure
261550,Realistic
261550,Third Person
261550,First Person
261550,Historical
261550,Great Soundtrack
261550,Early Access
255710,Simulation
255710,Building
255710,Management
255710,Strategy
255710,Sandbox
255710,Singleplayer
255710,Moddable
255710,Economy
255710,Resource Management
255710,Realistic
255710,Replay Value
255710,Casual
255710,Modern
255710,Real Time with Pause
255710,Family Friendly
255710,Great Soundtrack
255710,Funny
255710,Action
1293830,Racing
1293830,Open World
1293830,Driving
1293830,Multiplayer
1293830,Automobile Sim
1293830,Online Co Op
1293830,Realistic
1293830,Singleplayer
1293830,Controller
1293830,Adventure
1293830,Arcade
1293830,PvP
1293830,Simulation
1293830,Exploration
1293830,Sports
1293830,Action
1293830,Atmospheric
1293830,Great Soundtrack
1293830,First Person
1293830,Funny
814380,Difficult
814380,Action
814380,Singleplayer
814380,Stealth
814380,Adventure
814380,Third Person
814380,Open World
814380,Story Rich
814380,Violent
814380,Atmospheric
814380,Dark Fantasy
814380,Hack and Slash
814380,RPG
814380,Gore
814380,Great Soundtrack
814380,Dark
394360,Strategy
394360,World War II
394360,Grand Strategy
394360,War
394360,Historical
394360,Military
394360,Alternate History
394360,Multiplayer
394360,Simulation
394360,Tactical
394360,Real Time with Pause
394360,Singleplayer
394360,RTS
394360,Sandbox
394360,Co op
394360,Competitive
394360,Strategy RPG
394360,Open World
394360,Action
284160,Simulation
284160,Driving
284160,Physics
284160,Destruction
284160,Realistic
284160,Automobile Sim
284160,Open World
284160,Sandbox
284160,Racing
284160,Moddable
284160,Singleplayer
284160,Multiplayer
284160,Early Access
284160,First Person
284160,Third Person
284160,Exploration
284160,Funny
284160,Action
284160,Adventure
284160,Flight
108600,Survival
108600,Zombies
108600,Open World
108600,Open World Survival Craft
108600,Multiplayer
108600,Sandbox
108600,Post apocalyptic
108600,Co op
108600,Crafting
108600,Indie
108600,Simulation
108600,Building
108600,RPG
108600,Survival Horror
108600,Realistic
108600,Isometric
108600,Singleplayer
108600,2D
108600,Early Access
108600,Adventure
632360,Action Roguelike
632360,Multiplayer
632360,Action
632360,Co op
632360,Roguelite
632360,Roguelike
632360,Loot
632360,Online Co Op
632360,Shooter
632360,Difficult
632360,Third Person
632360,Indie
632360,Survival
632360,Singleplayer
632360,Great Soundtrack
632360,Soundtrack
632360,Early Access
632360,Bullet Hell
319630,Choices Matter
319630,Great Soundtrack
319630,Female Protagonist
319630,Atmospheric
319630,Singleplayer
319630,Adventure
319630,Multiple Endings
319630,Mystery
319630,Third Person
319630,Point & Click
319630,Indie
319630,Walking Simulator
319630,Casual
319630,Action
319630,Memes
319630,LGBTQ+
107410,Action
107410,Multiplayer
107410,Simulation
107410,Shooter
107410,Realistic
107410,First Person
107410,Open World
107410,Tactical
107410,FPS
107410,War
107410,Co op
107410,Strategy
107410,Sandbox
107410,Singleplayer
107410,Moddable
107410,Combat
107410,Online Co Op
107410,Team Based
107410,Third Person Shooter
990080,Fantasy
990080,Open World
990080,Singleplayer
990080,Adventure
990080,RPG
990080,Character Customization
990080,Exploration
990080,Story Rich
990080,Third Person
990080,Action Adventure
990080,Atmospheric
990080,Action RPG
990080,Action
990080,Combat
990080,Choices Matter
990080,Puzzle
990080,Great Soundtrack
990080,Dark
990080,Family Friendly
782330,Action
782330,FPS
782330,Great Soundtrack
782330,Gore
782330,Fast Paced
782330,Violent
782330,Demons
782330,Shooter
782330,First Person
782330,Singleplayer
782330,Blood
782330,Multiplayer
782330,Sci fi
782330,Post apocalyptic
782330,Mature
782330,Atmospheric
782330,Story Rich
782330,Adventure
782330,Difficult
782330,Horror
1517290,FPS
1517290,Military
1517290,Shooter
1517290,War
1517290,Multiplayer
1517290,Action
1517290,Combat
1517290,Team Based
1517290,First Person
1517290,PvP
1517290,Futuristic
1517290,Modern
1517290,Destruction
1517290,Singleplayer
1517290,Physics
1517290,Cinematic
1517290,Adventure
1517290,Casual
1237970,FPS
1237970,Multiplayer
1237970,Mechs
1237970,Shooter
1237970,Action
1237970,Singleplayer
1237970,Parkour
1237970,Sci fi
1237970,First Person
1237970,Futuristic
1237970,PvP
1237970,Combat
1237970,Military
1237970,Fast Paced
1237970,Dating Sim
1237970,Team Based
1237970,Violent
1237970,Co op
1203220,Multiplayer
1203220,Martial Arts
1203220,PvP
1203220,Action
1203220,Female Protagonist
1203220,Survival
1203220,Third Person
1203220,Character Customization
1203220,Hack and Slash
1203220,Massively Multiplayer
1203220,Fighting
1203220,Swordplay
1203220,Parkour
1203220,Adventure
1203220,Anime
1203220,Mature
1203220,Violent
1203220,Gore
1203220,Free to Play
22380,Open World
22380,RPG
22380,Post apocalyptic
22380,Singleplayer
22380,Moddable
22380,Story Rich
22380,Exploration
22380,First Person
22380,Action
22380,Adventure
22380,FPS
22380,Sci fi
22380,Atmospheric
22380,Action RPG
22380,Character Customization
22380,Survival
22380,Sandbox
22380,Shooter
22380,Third Person
435150,RPG
435150,Turn Based Strategy
435150,Story Rich
435150,Fantasy
435150,Exploration
435150,CRPG
435150,Party Based RPG
435150,Character Customization
435150,Strategy RPG
435150,PvP
435150,Female Protagonist
435150,Co op Campaign
435150,Local Co Op
435150,Isometric
435150,Choices Matter
435150,Romance
435150,Strategy
435150,Moddable
435150,Funny
477160,Funny
477160,Puzzle
477160,Adventure
477160,Physics
477160,Sandbox
477160,Action
477160,Puzzle Platformer
477160,Open World
477160,Multiplayer
477160,Local Co Op
477160,Indie
477160,Comedy
477160,Parkour
477160,Local Multiplayer
477160,Casual
477160,Split Screen
477160,3D Platformer
477160,Singleplayer
477160,Simulation
1238810,FPS
1238810,World War II
1238810,Multiplayer
1238810,Shooter
1238810,Singleplayer
1238810,War
1238810,Military
1238810,First Person
1238810,PvP
1238810,Combat
1238810,Massively Multiplayer
1238810,Open World
1238810,Action
1238810,Historical
1238810,Destruction
1238810,Atmospheric
1238810,Violent
1238810,Sexual Content
1238810,Female Protagonist
294100,Base Building
294100,Survival
294100,Strategy
294100,Sandbox
294100,Management
294100,Building
294100,Simulation
294100,Singleplayer
294100,City Builder
294100,Moddable
294100,Open World
294100,Procedural Generation
294100,2D
294100,Sci fi
294100,Indie
294100,Space
294100,Tactical RPG
294100,Cartoony
10,Action
10,FPS
10,Multiplayer
10,Shooter
10,Classic
10,Team Based
10,First Person
10,Competitive
10,Tactical
10,1990s
10,eSports
10,PvP
10,Old School
10,Military
10,Strategy
10,Survival
10,Score Attack
10,1980s
203160,Adventure
203160,Action
203160,Female Protagonist
203160,Third Person
203160,Singleplayer
203160,Story Rich
203160,Third Person Shooter
203160,Multiplayer
203160,Exploration
203160,Action Adventure
203160,Atmospheric
203160,Shooter
203160,Puzzle
203160,Stealth
203160,Cinematic
203160,Platformer
203160,RPG
489830,Open World
489830,RPG
489830,Adventure
489830,Singleplayer
489830,Fantasy
489830,Character Customization
489830,Moddable
489830,Story Rich
489830,Magic
489830,First Person
489830,Action
489830,Atmospheric
489830,Great Soundtrack
489830,Third Person
489830,Stealth
489830,Classic
489830,Remake
489830,Female Protagonist
489830,Walking Simulator
594650,Open World
594650,Tactical
594650,Atmospheric
594650,Multiplayer
594650,FPS
594650,Perma Death
594650,Shooter
594650,PvP
594650,Survival Horror
594650,Horror
594650,Difficult
594650,Online Co Op
594650,Co op
594650,Team Based
594650,Action
594650,Gore
594650,Zombies
594650,First Person
427520,Base Building
427520,Resource Management
427520,Sandbox
427520,Crafting
427520,Strategy
427520,Multiplayer
427520,Survival
427520,Management
427520,Open World
427520,Building
427520,Co op
427520,2D
427520,Moddable
427520,Singleplayer
427520,Simulation
427520,Pixel Graphics
427520,City Builder
427520,Indie
220,FPS
220,Action
220,Sci fi
220,Classic
220,Singleplayer
220,Story Rich
220,Shooter
220,First Person
220,Adventure
220,Dystopian
220,Atmospheric
220,Zombies
220,Physics
220,Aliens
220,Great Soundtrack
220,Horror
220,Puzzle
220,Multiplayer
220,Moddable
552520,Open World
552520,FPS
552520,Exploration
552520,Shooter
552520,Realistic
552520,First Person
552520,3D
552520,Story Rich
552520,Action
552520,Adventure
552520,Stealth
552520,Co op
552520,Nature
552520,Atmospheric
552520,Survival
552520,Psychedelic
552520,Combat
812140,Open World
812140,RPG
812140,Historical
812140,Action
812140,Singleplayer
812140,Third Person
812140,Adventure
812140,Multiple Endings
812140,Mythology
812140,Stealth
812140,Story Rich
812140,Female Protagonist
812140,Parkour
812140,Choices Matter
812140,Action RPG
812140,Exploration
812140,Action Adventure
812140,Multiplayer
812140,Choose Your Own Adventure
268910,Cartoon
268910,Co op
268910,Platformer
268910,Great Soundtrack
268910,Local Co Op
268910,2D
268910,Hand drawn
268910,Multiplayer
268910,Indie
268910,Retro
268910,Cartoony
268910,Bullet Hell
268910,Action
268910,Shoot Em Up
268910,Singleplayer
268910,Side Scroller
268910,Colorful
268910,Funny
268910,Atmospheric
1326470,Survival
1326470,Open World
1326470,Multiplayer
1326470,Survival Horror
1326470,Co op
1326470,Base Building
1326470,Crafting
1326470,Horror
1326470,First Person
1326470,Exploration
1326470,Adventure
1326470,Building
1326470,Singleplayer
1326470,Atmospheric
1326470,Action Adventure
1326470,Sandbox
1326470,Action
1326470,Simulation
1326470,Early Access
1326470,Immersive Sim
1551360,Racing
1551360,Open World
1551360,Driving
1551360,Multiplayer
1551360,Automobile Sim
1551360,Adventure
1551360,Realistic
1551360,Simulation
1551360,Exploration
1551360,Arcade
1551360,First Person
1551360,Atmospheric
1551360,Sports
1551360,Co op
1551360,PvP
1551360,Online Co Op
1551360,Singleplayer
1551360,Beautiful
1551360,Action
1551360,Third Person
379720,FPS
379720,Gore
379720,Action
379720,Shooter
379720,Demons
379720,Great Soundtrack
379720,First Person
379720,Fast Paced
379720,Singleplayer
379720,Multiplayer
379720,Sci fi
379720,Horror
379720,Atmospheric
379720,Classic
379720,Blood
379720,Difficult
379720,Remake
379720,Zombies
379720,Co op
379720,Violent
48700,RPG
48700,Open World
48700,Strategy
48700,Sandbox
48700,Multiplayer
48700,Action
48700,Moddable
48700,Military
48700,Adventure
48700,Singleplayer
48700,Realistic
48700,First Person
48700,Historical
48700,Third Person
48700,Simulation
48700,Hack and Slash
48700,Fantasy
48700,Indie
526870,Open World
526870,Multiplayer
526870,Crafting
526870,Co op
526870,Resource Management
526870,Building
